xcood,ycood,zcood,scalar
57.000000,50.000000,-5.000000,-1000.000000
57.000000,50.000000,-5.000000,1185.364432
61.000000,32.000000,2.200000,1149.335527
8.847352,29.869344,34.085053,1316.105172
21.662524,79.308727,9.259964,1224.893500
11.543186,20.768546,10.336854,1256.475416
11.734185,28.130505,38.737558,1188.314714
30.541249,27.728015,62.365104,1907.193791
11.850268,60.712529,6.470720,1540.398959
14.268477,47.456300,10.816689,1050.814227
34.643363,31.604725,65.982868,1803.552667
29.637303,11.929737,36.665591,1195.421874
36.772539,55.584755,41.657699,1696.716871
44.574183,55.018124,27.766536,1948.415416
38.043990,43.523781,55.687866,1443.663057
21.619490,19.133199,31.203260,1298.589707
38.984973,38.989924,66.033725,1784.101780
9.845703,35.491410,24.010757,1067.372292
18.480115,22.947123,53.950796,1627.322006
51.753486,51.660086,19.169731,1089.285698
25.371576,53.577723,19.778458,1576.064616
16.269294,8.486212,15.221951,1940.613962
23.769674,48.632695,27.469198,1448.374363
10.195667,56.166093,18.694373,1947.273082
47.897927,38.547371,27.073018,1416.071282
18.425917,53.825056,43.315242,1444.166417
40.193083,30.090194,65.946082,1246.558433
56.130851,31.896727,13.546387,1621.615061
14.116821,31.658721,57.367569,1821.781112
18.287636,60.954248,39.665258,1049.953318
32.458183,8.803442,17.519852,1039.839134
31.573192,2.465711,14.159038,1605.456593
15.353500,37.537190,34.059474,1200.116133
27.510311,53.022555,14.386620,1352.376442
6.967830,43.615784,12.395286,1957.765027
51.507469,16.978780,0.603879,1594.496168
12.661731,70.128549,8.689069,1379.506398
30.112824,25.636118,56.562945,1730.087303
16.322030,53.378385,34.596910,1930.001217
10.785287,38.441252,21.351919,1467.701666
44.219099,57.674927,45.860760,1728.025041
10.949882,64.370687,6.040519,1025.773457
27.610845,51.497489,52.178143,1004.932840
50.297668,45.498645,17.112729,1358.007154
4.328813,24.956650,17.132910,1462.249179
44.640789,48.527561,11.668784,1720.246192
16.714919,46.775594,35.766479,1173.936297
57.827115,38.722287,33.312451,1312.812142
52.701856,38.443389,24.242435,1155.166712
19.148967,16.390027,4.461577,1501.701167
8.257868,28.548157,16.500523,1581.401675
54.197811,42.402080,7.160938,1835.285949
9.039400,39.021003,26.993218,1325.885410
40.660308,43.079017,40.338124,1759.638155
54.645666,17.713685,14.143766,1289.273357
33.182371,46.220284,61.524166,1149.626792
58.324074,47.650786,19.315723,1652.867936
57.146498,33.396869,21.698270,1807.434113
56.392832,22.275776,25.778842,1532.659076
41.455968,33.585902,66.575952,1271.007574
54.691833,15.083935,24.550071,1747.949368
10.026038,29.891941,21.235024,1100.930478
12.432379,25.007353,43.735488,1408.718370
28.465533,59.115177,46.146671,1651.660898
11.104519,50.610638,34.415531,1669.167084
31.659384,41.637974,62.005390,1180.974982
45.961974,47.637438,36.956447,1721.546285
50.804628,22.901958,23.029361,1662.705491
14.920578,63.821491,9.149807,1215.202547
41.987871,47.009214,45.411046,1931.893877
49.265251,54.475390,6.033363,1239.463879
15.266378,52.648775,37.512051,1162.604131
50.975802,31.282064,45.248862,1188.588489
50.633914,17.666430,10.423649,1674.381079
49.657538,22.402403,49.679040,1049.579564
38.552985,51.039262,52.963699,1272.445431
17.005961,20.170476,30.371588,1112.317788
39.713422,71.888287,32.730834,1439.817030
39.777374,44.386305,43.049973,1063.761443
17.810089,20.690065,39.047531,1594.139404
15.053793,16.996192,38.562273,1391.018472
16.767690,22.180213,12.886712,1916.471777
57.892047,22.393524,1.820408,1197.530801
5.474871,22.679411,6.782456,1728.465994
46.342383,43.127974,15.170436,1777.724613
53.271278,18.134846,15.387852,1579.025565
23.864320,53.883685,34.531499,1814.969816
57.524016,57.061998,5.462298,1141.154722
32.854547,57.545952,9.623972,1756.982738
51.559050,21.935948,39.403519,1114.428865
18.659634,49.134714,32.016364,1265.720167
4.016943,34.885350,1.974519,1695.551692
25.985402,70.888737,33.901811,1919.710801
38.503796,57.192546,5.251635,1054.607415
14.005334,23.841133,16.915282,1117.442624
11.390138,20.627110,6.810535,1730.380363
61.438535,37.732487,8.943042,1418.702726
10.243187,45.078140,26.161069,1196.855979
54.723776,39.296334,31.697232,1792.876228
26.514949,76.681238,17.329518,1591.225678
16.979602,62.545905,26.790630,1807.827843
22.625238,51.740792,7.456296,1160.305287
13.309760,48.482595,1.212410,1583.595307
22.845462,26.362484,52.405383,1885.567625
25.190428,54.245098,6.509245,1129.858321
29.750944,7.996918,0.117034,1347.392047
53.431648,63.796524,10.533655,1785.700226
27.062474,12.678071,18.666976,1406.144820
31.563507,11.038899,49.948352,1858.044821
44.802967,16.709665,10.633651,1467.898018
20.822939,22.866748,44.146639,1660.159253
18.928815,12.564044,24.203934,1981.342416
21.122299,78.891290,4.438701,1138.055453
43.193501,13.324646,7.885889,1135.713587
23.355531,22.030475,46.437983,1278.991273
10.570121,56.964495,27.547665,1751.422238
9.818006,27.195360,30.203094,1052.262316
45.813663,40.872671,41.880133,1601.536460
31.901589,52.556071,6.536708,1027.312435
44.314527,45.068355,7.688002,1117.388631
45.606397,52.475879,0.316953,1864.206275
14.285361,19.996811,36.723201,1506.502610
29.152084,12.240397,3.206615,1045.036958
36.549504,10.701879,15.096252,1458.590492
24.854932,6.859831,6.142714,1550.843745
44.641857,66.447675,33.929437,1240.344561
52.730067,15.294666,20.366299,1473.292078
12.374766,43.250821,32.506168,1176.690921
42.561089,44.486232,47.419410,1524.331374
26.892051,9.944970,13.843227,1899.407854
18.156190,21.125788,43.744066,1190.252613
40.583816,6.650716,21.128021,1933.635472
37.770631,77.974781,9.824294,1571.330857
4.039929,37.216668,3.975470,1333.270392
56.951624,29.570702,13.260917,1847.445469
17.884986,53.721961,7.542549,1209.947345
21.833072,64.611392,42.799911,1314.230261
20.639444,15.537960,10.111036,1489.321608
23.965855,9.392580,30.144154,1087.176318
42.596419,74.013568,11.725462,1910.563313
25.635860,8.621876,14.906027,1051.670825
7.759824,47.435305,5.785098,1187.062592
11.020379,53.865161,18.086624,1707.955526
29.104550,8.117426,24.499110,1959.406288
54.833289,22.282927,39.188921,1700.046983
23.447822,13.339472,10.658435,1394.144302
49.704164,37.093072,33.627487,1645.742295
49.330877,55.515547,5.417119,1071.003767
47.736074,10.078672,22.496399,1272.419632
17.204186,20.658583,19.543464,1352.765199
5.639005,41.253393,25.218183,1422.190167
31.561983,42.136133,63.749053,1088.838601
43.226235,45.982929,21.964822,1942.595921
25.913229,22.141240,60.591749,1610.484694
50.129063,11.508203,6.724144,1461.918282
8.907102,41.487888,33.954453,1013.661347
11.182801,32.240914,21.828245,1248.217375
17.401078,13.767721,34.273123,1562.269805
28.392513,38.061820,67.883056,1608.982845
44.149362,6.759307,17.060897,1418.638275
50.776517,68.296296,16.541838,1300.322961
21.090358,56.292350,6.707638,1986.311250
48.316987,73.831820,4.847698,1832.922226
10.458251,33.859807,8.535726,1135.500480
20.463344,9.346224,4.286687,1598.042748
9.667625,53.954012,12.732599,1744.926501
40.860042,9.320365,35.095419,1586.235407
34.985258,50.309423,48.841493,1403.124139
35.356335,18.738315,51.596095,1848.552820
32.248777,50.675969,17.888290,1167.223464
14.112873,50.496641,14.644140,1827.090996
48.119590,46.329242,47.029703,1791.523664
41.676915,8.687503,33.301155,1076.589526
14.300561,53.168834,17.307911,1290.840916
31.794443,81.595426,10.286238,1922.301110
12.577465,20.282686,33.276953,1174.139010
15.578694,38.187657,21.769963,1622.555518
37.491647,49.010627,36.240643,1919.913942
56.192711,28.369571,33.476262,1974.551967
21.658774,74.130242,17.203485,1896.764833
46.150003,25.831623,43.591050,1175.500315
46.798068,37.609144,39.063151,1292.754739
42.395487,37.052480,64.647326,1934.279720
57.816995,30.158207,2.275095,1417.369608
21.990392,59.232280,0.284980,1247.107416
29.705213,21.775840,53.487746,1686.999724
15.616049,61.795610,33.439660,1810.610104
33.980325,11.413603,0.380129,1185.488586
39.735271,30.047236,53.625258,1737.737728
32.252864,15.717007,57.951502,1940.181399
29.234623,10.366726,48.419969,1608.803895
26.871347,52.630888,16.974210,1582.765311
42.758652,18.221585,15.824491,1685.133665
11.610433,26.004717,33.627084,1367.401732
27.998316,5.640990,25.533589,1401.417430
9.620580,39.436094,31.358121,1181.591405
